date,log_exists,clear_by_fit,measured_MJ,ref_MJ,anchor_scaling,anchor_used,anchor_resid_log,scaling_daily,source,nrmse,A,n,sunrise,sunset,note
2025-04-24,True,True,24.56142,28.2,1.1481420862474565,True,-0.04731201240999683,1.203768522275916,annual_fit,0.0180464781774989,863.991890300284,1.1600000000000006,05:26,18:22,ok
2025-04-25,True,False,13.09746,28.31,,,,1.201662626832657,annual_fit,0.16460111768478145,554.4914724852105,1.9700000000000013,05:36,17:56,ok
2025-04-26,True,True,24.78864,28.42,1.1464929096553906,True,-0.04526157298094016,1.1995772606530686,annual_fit,0.01215564526500972,873.5875482488154,1.2000000000000006,05:19,18:21,ok
2025-04-27,True,False,23.82288,28.53,,,,1.197512945932651,annual_fit,0.05493490529236075,838.7389641924523,1.1100000000000005,05:17,18:07,ok
2025-04-28,True,False,7.67937,28.64,,,,1.1954701965255579,annual_fit,0.25792929185761726,372.0464547320271,2.2000000000000006,05:26,16:45,ok
2025-04-29,True,True,24.91836,28.74,1.1533664334249927,True,-0.03416286889084996,1.1934495179096494,annual_fit,0.02111024141124397,889.7231148936371,1.1700000000000006,05:20,18:20,ok
2025-04-30,True,True,24.64902,28.85,1.1704319279224895,True,-0.01779938396111938,1.1914514071557305,annual_fit,0.012279305221343148,867.7932070822397,1.2200000000000006,05:15,18:24,ok
2025-05-01,True,False,21.18234,28.96,,,,1.1894763529008392,annual_fit,0.12790993631222108,704.5625647234868,0.9200000000000004,05:17,18:21,ok
2025-05-02,True,False,3.25503,29.06,,,,1.1875248353254515,annual_fit,0.25150318853610226,357.4281703719507,1.740000000000001,13:49,18:23,ok
2025-05-03,True,True,24.44778,29.16,1.1927463352500718,True,0.006011772615483801,1.1855973261344708,annual_fit,0.018957003573974125,859.174973515506,1.1900000000000006,05:11,18:18,ok
2025-05-04,True,False,21.75282,29.26,,,,1.1836942885418633,annual_fit,0.16461075289492466,911.5473687743764,2.1500000000000004,05:32,18:28,ok
2025-05-05,True,True,24.99138,29.36,1.1748050727890977,True,-0.005950150160802553,1.1818161772588087,annual_fit,0.04560095975671223,880.5026961546046,1.1400000000000006,05:20,18:09,ok
2025-05-06,True,False,6.38328,29.45,,,,1.1799634384852211,annual_fit,0.3213820420812072,232.19461090169617,0.5,07:44,17:50,ok
2025-05-07,True,True,25.02477,29.55,1.1808300336027064,True,0.0022836482155117743,1.1781365099045118,annual_fit,0.04174420103155008,883.0951701383372,1.3000000000000007,05:07,18:29,ok
2025-05-08,True,False,24.195,29.64,,,,1.1763358206814498,annual_fit,0.08244821490774733,901.9758059187646,1.530000000000001,05:08,18:26,ok
2025-05-09,True,False,5.50755,29.72,,,,1.1745617914629858,annual_fit,0.17661167657057736,240.02710660925112,1.3100000000000007,05:47,16:24,ok
